Num SSA sims , 2 , 
Num varying shocks , 1 , 
Num independently varying shocks , 1 , 
SSA type , wrt shocks , 
SSA quadrature type , Stroud , 
 
RAW (Stroud/Liu) VALUES
Varying , Dist type , Independent degree , Vary Type (P/C/F) , Max Vals , Expected Mean , Expected SD , Actual mean , Actual SD , Actual min , Actual max , SSA sim 1 , SSA sim 2 ,  
intf('coal':'Electricity':'USA') , uniform , 1 , C ,  5.00000000000000E+0000 , 0.0 ,  2.88675141334534E+0000 ,  0.00000000000000E+0000 ,  2.88675141334534E+0000 , -2.88675141334534E+0000 ,  2.88675141334534E+0000 , -2.88675141334534E+0000 ,  2.88675141334534E+0000 ,  
 
ACTUAL SHOCK VALUES
     ,      ,      ,      ,      , Orig Shock Val = , 
Varying , Dist type , Independent degree , Vary Type (P/C/F) ,      , Expected Mean , Expected SD , Actual mean , Actual SD , Min shock , Max shock , SSA sim 1 , SSA sim 2 ,  
intf('coal':'Electricity':'USA') , uniform , 1 , C ,      , -1.10000000000000E+0001 ,  2.88675141334534E+0000 , -1.10000000000000E+0001 ,  2.88675117492676E+0000 , -1.38867511749267E+0001 , -8.11324882507324E+0000 , -1.38867511749267E+0001 , -8.11324882507324E+0000 ,  
